id,title,path,studio,performers,resolution,resolution_tier,bitrate_mbps,duration_min,size_gb,is_vr,rating,play_count,o_counter,quality_score,can_upscale,target_resolution,processing_tier,recommendation
2688,,/data/recovered/recovery/recup_dir.8/f526712688.mp4,,,3840x2160,4K,101.5,0.0,0.01,False,0,0,0,80.0,False,,skip,Already 4K - no upscale needed for 2D
2683,Tiffany's Sexy Striptease,/data/recovered/recovery/recup_dir.237/f502306480.mp4,Exotic4K,"Preston Parker, Tiffany Tailor",4096x2160,4K,44.8,20.2,6.31,False,0,0,0,75.0,False,,skip,Already 4K - no upscale needed for 2D
2684,Tiny Ebony Pussy,/data/recovered/recovery/recup_dir.237/f515540792.mp4,Exotic4K,"Preston Parker, Nadia Jay",1280x674,720p,9.5,20.1,1.34,False,0,0,0,55.0,False,1080p,skip,720p 2D - use FFmpeg lanczos (AI overkill)
2681,Slick and Slippery,/data/recovered/recovery/recup_dir.237/f486473112.mp4,Exotic4K,"Brittney White, J Mac",3840x2160,4K,20.0,35.9,5.02,False,0,0,0,70.0,False,,skip,Already 4K - no upscale needed for 2D
2682,Spanish Oil,/data/recovered/recovery/recup_dir.237/f497000024_ftyp.mov,Exotic4K,Franceska Jaimes,4096x2160,4K,11.2,32.2,2.53,False,0,0,0,65.0,False,,skip,Already 4K - no upscale needed for 2D
2679,Oil Massage,/data/recovered/recovery/recup_dir.237/f477993008.mp4,Exotic4K,"Marie Washington, Bambino",3840x2160,4K,12.1,20.7,1.75,False,0,0,0,65.0,False,,skip,Already 4K - no upscale needed for 2D
2680,Sexy Chocolate Mounds,/data/recovered/recovery/recup_dir.237/f481660344_ftyp.mov,Exotic4K,Anya Ivy,4096x2160,4K,15.2,21.6,2.29,False,0,0,0,70.0,False,,skip,Already 4K - no upscale needed for 2D
2677,Nacci Full Gold,/data/recovered/recovery/recup_dir.237/f457687872.mp4,Exotic4K,"Nia Nacci, Danny Mountain",3840x2160,4K,22.3,35.9,5.59,False,0,0,0,70.0,False,,skip,Already 4K - no upscale needed for 2D
2678,Oil & Ice,/data/recovered/recovery/recup_dir.237/f469420160.mp4,Exotic4K,"Shay Evans, J Mac",3840x2160,4K,15.1,38.7,4.09,False,0,0,0,70.0,False,,skip,Already 4K - no upscale needed for 2D
2674,High Rise Facial,/data/recovered/recovery/recup_dir.237/f435994560.mp4,Exotic4K,"Kendall Woods, J Mac",3840x2160,4K,30.1,30.4,6.39,False,0,0,0,75.0,False,,skip,Already 4K - no upscale needed for 2D
2675,Hot Indian Girl,/data/recovered/recovery/recup_dir.237/f449397296_ftyp.mov,Exotic4K,"Johnny Castle, Karmen Bella",3840x2160,4K,11.2,27.0,2.11,False,0,0,0,65.0,False,,skip,Already 4K - no upscale needed for 2D
2676,Luscious Lips,/data/recovered/recovery/recup_dir.237/f453820792_ftyp.mov,Exotic4K,"Preston Parker, Karmen Bella",4096x2160,4K,13.2,20.0,1.84,False,0,0,0,65.0,False,,skip,Already 4K - no upscale needed for 2D
2673,Golden Hour,/data/recovered/recovery/recup_dir.237/f427691952.mp4,Exotic4K,"Harley Dean, Justin Hunt",3840x2160,4K,20.4,27.7,3.96,False,0,0,0,70.0,False,,skip,Already 4K - no upscale needed for 2D
2671,,/data/recovered/recovery/recup_dir.236/f67116552.mkv,,,3840x2160,4K,11.0,25.2,1.93,False,0,0,0,65.0,False,,skip,Already 4K - no upscale needed for 2D
2669,,/data/recovered/recovery/recup_dir.227/f5585710256.mp4,,,3840x2160,4K,19.7,36.8,5.07,False,0,0,0,70.0,False,,skip,Already 4K - no upscale needed for 2D
2641,,/data/recovered/recovery/recup_dir.221/f4094879640.mp4,,,8192x4096,8K+,59.1,32.5,13.4,True,0,0,0,90.0,False,,skip,Already 8K - no upscale needed
2642,Head Smoulder Tease & Toes,/data/recovered/recovery/recup_dir.221/f4171662736.mp4,BaDoinkVR,Barbie Reyes,8192x4096,8K+,59.3,60.8,25.16,True,0,0,0,90.0,False,,skip,Already 8K - no upscale needed
