id,title,studio,performers,performer_count,all_tags,tag_count,content_type,is_vr,width,height,resolution,resolution_tier,bitrate_mbps,duration_min,size_gb,codec,rating,play_count,o_counter,quality_score,processing_tier,recommendation,path,tag_vr,tag_pov,tag_anal,tag_blowjob,tag_creampie,tag_facial,tag_threesome,tag_lesbian,tag_milf,tag_teen,tag_bbc,tag_interracial,tag_bondage,tag_bdsm,tag_solo,tag_masturbation,tag_squirt,tag_big_tits,tag_big_ass,tag_blonde,tag_brunette,tag_redhead,tag_asian,tag_latina,tag_ebony,tag_european
2075,,Unknown,,0,VR,1,VR,True,5400,2700,5400x2700,5K,111.7,41.0,32.0,av1,0,0,0,80.0,tier3_local,4K→6K (Local),/data/library/Library/Jellyfin/VR/Unknown/VR3D_065/VR3D_065.mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2672,How Good Am I Stretching?,VRHush,Abella Danger,1,Blowjob | Brown Hair | Cowgirl | Cumshot | Natural Tits | Reverse Cowgirl | Virtual Reality,7,VR,True,5400,2700,5400x2700,5K,30.7,41.0,8.79,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/recovery/recup_dir.236/f88041568.mp4,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
2623,Lion's Den,WankzVR,Cecilia Lion,1,60 FPS | 180° | Black Woman | Blowjob | Brown Hair | College | Cowgirl | Cum on Stomach | Doggy Style | Foot Licking | Interracial | Kissing | Missionary | Reverse Cowgirl | Twosome | Virtual Reality,16,VR,True,4600,2300,4600x2300,4K,30.3,59.8,12.64,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/recovery/recup_dir.221/f3421160320.mp4,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,
2624,Why Wait?,WankzVR,Jenna Foxx,1,Big Tits | Black Woman | Blowjob | Couple,4,VR,True,4600,2300,4600x2300,4K,30.2,55.8,11.77,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/recovery/recup_dir.221/f3447676752.mp4,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,
2616,Half Life A XXX Parody,VRCosplayX,Alyssa Divine,1,Big Tits | Black | Blowjob | Cosplay | Game Character | Parody | Virtual Reality,7,VR,True,5400,2700,5400x2700,5K,36.3,47.3,11.99,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/recovery/recup_dir.221/f3230910168.mp4,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,
2615,Streets of Rage A XXX Parody,VRCosplayX,Canela Skin,1,180° | Blowjob | Brown Hair | Cosplay | Game Character | Latin | Parody | Virtual Reality,8,VR,True,5400,2700,5400x2700,5K,30.2,43.1,9.08,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/recovery/recup_dir.221/f3211873512.mp4,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
2514,Jack In The Box,BaDoinkVR,Kagney Linn Karter,1,180° | Twosome | Virtual Reality,3,VR,True,3840,1920,3840x1920,4K,30.2,28.9,6.1,h264,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/f2535416384.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,Pay up or Put out!,Czech VR,Lenina Crowne,1,Cowgirl | English Language | European | Hairless Pussy | Handjob | Hardcore | Missionary | pantyhose | Red Hair | Reverse Cowgirl | Titjob | Virtual Reality,12,VR,True,5400,2700,5400x2700,5K,30.3,43.4,9.2,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/f2325604544.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2507,Angry Missus,Czech VR,Kiki Minaj,1,5K Available | Black Woman | Blowjob | Brown Hair (Female) | Cowgirl | Doggy Style | Facial | Gaping | Hairless Pussy | Hardcore | Interactive | Interracial | Missionary | Virtual Reality,14,VR,True,5400,2700,5400x2700,5K,30.3,35.9,7.61,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/recovered/f2289267112.mp4,,,,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,,,
2373,,,,0,,0,VR,True,5400,2700,5400x2700,5K,45.0,56.0,17.59,hevc,0,0,0,75.0,tier3_local,4K→6K (Local),/data/library/recup_dir.4/f6007438800.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
