id,title,studio,performers,performer_count,all_tags,tag_count,content_type,is_vr,width,height,resolution,resolution_tier,bitrate_mbps,duration_min,size_gb,codec,rating,play_count,o_counter,quality_score,processing_tier,recommendation,path,tag_vr,tag_pov,tag_anal,tag_blowjob,tag_creampie,tag_facial,tag_threesome,tag_lesbian,tag_milf,tag_teen,tag_bbc,tag_interracial,tag_bondage,tag_bdsm,tag_solo,tag_masturbation,tag_squirt,tag_big_tits,tag_big_ass,tag_blonde,tag_brunette,tag_redhead,tag_asian,tag_latina,tag_ebony,tag_european
2641,,,,0,,0,VR,True,8192,4096,8192x4096,8K+,59.1,32.5,13.4,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f4094879640.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,Head Smoulder Tease & Toes,BaDoinkVR,Barbie Reyes,1,6K Available | 8K Available | 180° | Big Tits | Black | Blowjob | Cum on Tits | Doggy Style | Hairy | Pornstar | Tattoos | Teen Girl (18–22) | Virtual Reality,13,VR,True,8192,4096,8192x4096,8K+,59.3,60.8,25.16,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f4171662736.mp4,,,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,
2640,A Very Personal Trainer,BaDoinkVR,Jesse Pony,1,6K Available | 8K Available | 180° | Babes | Big Tits | Blowjob | Brown Hair | Doggy Style | Facial | Hairy | Pornstar | Tattoos | Virtual Reality,13,VR,True,8192,4096,8192x4096,8K+,56.6,56.6,22.41,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f4004706240.mp4,,,,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,,,
2631,Zoom Call,VR Conk,La Sirena 69,1,3D Available | 8K Available | 69 | 180° | Big Ass | Big Dick | Big Tits | Blowjob | Cowgirl | Cum in Mouth | Curvy | Facial | Hairless Pussy | Latina Woman | Red Hair | Reverse Cowgirl | Virtual Reality,17,VR,True,7680,3840,7680x3840,8K+,50.2,33.1,11.63,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f3676307600.mp4,,,,Yes,,Yes,,,,,,,,,,,,Yes,Yes,,,,,Yes,,
2625,,,,0,,0,VR,True,7680,3840,7680x3840,8K+,60.3,42.1,17.76,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f3472352440.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,SIX A XXX Parody,VRCosplayX,August Skye,1,6K Available | 8K Available | 180° | Babes | Big Tits | Black | Blowjob | Brown Hair | Doggy Style | Facial | Interracial | MILF (30+) | Titjob | Vaginal Sex | Virtual Reality,15,VR,True,8192,4096,8192x4096,8K+,59.8,47.2,19.71,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f3266055496.mp4,,,,Yes,,Yes,,,Yes,,,Yes,,,,,,Yes,,,,,,,,
2614,Mortal Kombat: Jade (A Porn Parody),VR Conk,Nicole Kitt,1,3K Available | 4K Available | 5K Available | 6K Available | 8K Available | 60 FPS | 180° | American | Bed | Bedroom | Big Dick | Black | Black Hair (Female) | Black Woman | Blowjob | Circumcised | Close Up Missionary | Cosplay | Cowgirl | Cum on Pussy | Deepthroat | Doggy Style | Full HD Available | Game Character | Hairless Labia | Hairy Pussy | Interracial | Missing Performer (Male) | Missionary | Natural Tits | Outdoors | Reverse Cowgirl | Self Pussy Fingering During Sex | Side Cowgirl | Skinny | Small Tits | straight | Straight Hair | Trimmed Dick | Twosome | Twosome (Straight) | Virtual Reality | White Man,43,VR,True,8192,4096,8192x4096,8K+,60.9,47.6,20.25,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f3164011552.mp4,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,
2609,Ebony Temptress Maid,RealJamVR,Kona Jade,1,3D Available | 8K Available | 60 FPS | 180° | Black | Blowjob | Cowgirl | Doggy Style | English Language | Hardcore | Male - POV | Missionary | Pussy Licking | Reverse Cowgirl | Tattoos | Uniform | Virtual Reality,17,VR,True,8192,4096,8192x4096,8K+,65.4,42.7,19.51,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f2982020976.mp4,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,
2604,One Night Stand with Kira Noir,VR Bangers,Kira Noir,1,4K Available | 6K Available | 8K Available | 180° | American | Babes | Big Dick | Big Tits | Black | Blowjob | Close Up | Cowgirl | Creampie | Deepthroat | Dirty Talk | Doggy Style | Hairy | Missing Performer (Male) | Pussy Licking | Reverse Cowgirl | Stockings | Virtual Reality,22,VR,True,7680,3840,7680x3840,8K+,50.3,48.1,16.89,hevc,0,0,0,90.0,skip,Already 8K,/data/recovered/recovery/recup_dir.221/f2778599808.mp4,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,
2595,Bubble-butt babe Lily Starfire jiggles her ass just for you,PSE Porn Star Experience,Lily Starfire | Juan El Caballo Loco,2,180° | All Sex | American | Big Dick | Big Tits | Black | Black Hair | Blowjob | Brown Hair | Cum on Stomach | Cumshot | Doggy Style | Hairless Pussy | Hotel | Lingerie | Long Hair | Male - POV | Medium Ass | Natural Tits | Orgasm | Pussy Licking | Reverse Cowgirl | Short Woman | Tattoos | Titjob | Twerking | Virtual Reality,27,VR,True,8192,4096,8192x4096,8K+,83.8,35.8,20.96,hevc,0,0,0,90.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/psexlilyjuan_8kvr265.mp4,,Yes,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,
